	smiles
0	OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc(cn3)c4nc5cc(Cl)ccc5[nH]4
1	CC(C)(CN)c1nc(c2ccc(Cl)c(O)c2)c([nH]1)c3ccncc3
2	CCc1ccc(CCCCOC(=O)N[C@H]2CNC2=O)cc1
3	CSC1=NC(=C(C#N)C(=O)N1C)c2ccc(C)cc2
4	COc1c(OCCN2CCCCC2)c(NC(=O)OC3CCCCC3)c(OC)c4ccoc14
5	O=C(CCCCCCNc1c2CCCCc2nc3ccccc13)NCCc4c[nH]c5ccccc45
6	COCCNC(=O)C1=Cc2cccc(OC)c2OC1=O
7	OC(=O)[C@H](CSSCCNC(=O)C12CC3CC(CC(C3)C1)C2)NC(=O)C45CC6CC(CC(C6)C4)C5
8	COc1c(Oc2cccc(Cl)c2)c(Br)ccc1C=O
9	O=C(Cc1ccccc1)Nc2nnc(CSCc3nnc(NC(=O)Cc4ccccc4)s3)s2
10	C[C@@H]1OC(=NC1C(=O)N(CCCNC(=O)c2cccc(O)c2O)CCCNC(=O)c3cccc(O)c3O)c4cccc(O)c4O
11	C(Oc1ccc2ccccc2n1)c3cn4c(cnc(N5CCOCC5)c4n3)c6ccc(cc6)c7nn[nH]n7
12	CCOc1ccccc1OCCC(=O)N2CCN(CC2)S(=O)(=O)c3ccccc3[N+](=O)[O-]
13	COc1cc(\C=C\2/C(=O)Nc3c(Cl)ccc(Cl)c23)cc(OC)c1OC
14	CCCN1C(=O)N(CCC)c2[nH]c(nc2C1=O)c3ccc(OCc4noc(n4)c5ccc(F)cc5)cc3
15	Cc1ccc(N2C=Nc3c(Cl)cc(Cl)cc3C2=O)c(C)c1
16	CCOc1nc2cccc(C(=O)NCc3ccccc3)c2n1Cc4ccc(cc4)c5ccccc5
17	COc1cc2ncnc(Nc3ccc4N(CCc4c3)C(=O)Cc5coc6ccccc56)c2cc1OC
18	Cc1onc(NC(=O)CSCC(=O)Nc2cccc(c2)S(=O)(=O)N3CCCCCC3)c1
19	COc1ccc(NC(=O)C2CCN(CC2)C(=O)Nc3ccc(C)cc3)cc1OC
20	O=C(NCc1ccccc1)\C(=C/c2ccccc2)\C#N
21	CN([C@@H](Cc1ccc2ccccc2c1)C(=O)N(C)[C@@H](Cc3ccccc3)C(=O)N[C@@H](CCCCN)C(=O)N)C(=O)\C=C\CC(C)(C)N
22	N[C@@H](Cc1ccccc1)C(=O)N2CCCC2P(=O)(Oc3ccccc3)Oc4ccccc4
